1.07.849 I slot print_timing: id  0 | task 4 | prompt eval time =    4145.90 ms /  1004 tokens (    4.13 ms per token,   242.20 tokens per second)
19.00.385 I slot print_timing: id  0 | task 61 |        eval time =    3419.50 ms /   228 tokens (   15.00 ms per token,    66.70 tokens per second)
19.00.385 I slot print_timing: id  0 | task 61 | draft acceptance = 0.92778 (  167 accepted /   180 generated)
19.00.385 I slot print_timing: id  0 | task 61 | reasoning effort = medium
19.03.853 I slot print_timing: id  0 | task 62 | prompt eval time =     996.40 ms /   534 tokens (    1.87 ms per token,   535.90 tokens per second)  [26624 cached]
19.03.853 I slot print_timing: id  0 | task 62 |        eval time =    2332.20 ms /   161 tokens (   14.49 ms per token,    69.00 tokens per second)
19.03.853 I slot print_timing: id  0 | task 62 | draft acceptance = 0.99174 (  120 accepted /   121 generated)
19.03.853 I slot print_timing: id  0 | task 62 | reasoning effort = medium
19.09.830 I slot print_timing: id  0 | task 63 | prompt eval time =     500.00 ms /   237 tokens (    2.11 ms per token,   474.00 tokens per second)  [27136 cached]
19.09.830 I slot print_timing: id  0 | task 63 |        eval time =    5342.40 ms /   362 tokens (   14.76 ms per token,    67.80 tokens per second)
19.09.830 I slot print_timing: id  0 | task 63 | draft acceptance = 0.93684 (  267 accepted /   285 generated)
19.09.830 I slot print_timing: id  0 | task 63 | reasoning effort = medium
19.13.630 I slot print_timing: id  0 | task 64 | prompt eval time =    1295.60 ms /   682 tokens (    1.90 ms per token,   526.40 tokens per second)  [27136 cached]
19.13.630 I slot print_timing: id  0 | task 64 |        eval time =    2368.00 ms /   165 tokens (   14.35 ms per token,    69.70 tokens per second)
19.13.630 I slot print_timing: id  0 | task 64 | draft acceptance = 0.97619 (  123 accepted /   126 generated)
19.13.630 I slot print_timing: id  0 | task 64 | reasoning effort = medium
19.16.030 I slot print_timing: id  0 | task 65 | prompt eval time =     934.70 ms /   420 tokens (    2.23 ms per token,   449.30 tokens per second)  [27648 cached]
19.16.030 I slot print_timing: id  0 | task 65 |        eval time =    1325.40 ms /    92 tokens (   14.41 ms per token,    69.40 tokens per second)
19.16.030 I slot print_timing: id  0 | task 65 | draft acceptance = 1.00000 (   69 accepted /    69 generated)
19.16.030 I slot print_timing: id  0 | task 65 | reasoning effort = medium
19.29.134 I slot print_timing: id  0 | task 66 | prompt eval time =     705.20 ms /   312 tokens (    2.26 ms per token,   442.40 tokens per second)  [27904 cached]
19.29.134 I slot print_timing: id  0 | task 66 |        eval time =   12265.40 ms /   790 tokens (   15.53 ms per token,    64.40 tokens per second)
19.29.134 I slot print_timing: id  0 | task 66 | draft acceptance = 0.88992 (  574 accepted /   645 generated)
19.29.134 I slot print_timing: id  0 | task 66 | reasoning effort = medium
19.49.529 I slot print_timing: id  0 | task 67 | prompt eval time =    1680.60 ms /   909 tokens (    1.85 ms per token,   540.90 tokens per second)  [28160 cached]
19.49.529 I slot print_timing: id  0 | task 67 |        eval time =   18578.50 ms /  1153 tokens (   16.11 ms per token,    62.10 tokens per second)
19.49.529 I slot print_timing: id  0 | task 67 | draft acceptance = 0.85552 (  829 accepted /   969 generated)
19.49.529 I slot print_timing: id  0 | task 67 | reasoning effort = medium
19.53.774 I slot print_timing: id  0 | task 68 | prompt eval time =    2143.80 ms /  1331 tokens (    1.61 ms per token,   620.90 tokens per second)  [28928 cached]
19.53.774 I slot print_timing: id  0 | task 68 |        eval time =    1963.80 ms /   123 tokens (   15.97 ms per token,    62.60 tokens per second)
19.53.774 I slot print_timing: id  0 | task 68 | draft acceptance = 0.88119 (   89 accepted /   101 generated)
19.53.774 I slot print_timing: id  0 | task 68 | reasoning effort = medium
20.09.595 I slot print_timing: id  0 | task 69 | prompt eval time =     863.70 ms /   259 tokens (    3.33 ms per token,   299.90 tokens per second)  [30208 cached]
20.09.595 I slot print_timing: id  0 | task 69 |        eval time =   14809.90 ms /  1031 tokens (   14.36 ms per token,    69.60 tokens per second)
20.09.595 I slot print_timing: id  0 | task 69 | draft acceptance = 0.99228 (  771 accepted /   777 generated)
20.09.595 I slot print_timing: id  0 | task 69 | reasoning effort = medium
20.12.937 I slot print_timing: id  0 | task 70 | prompt eval time =    2152.80 ms /  1119 tokens (    1.92 ms per token,   519.80 tokens per second)  [30464 cached]
20.12.937 I slot print_timing: id  0 | task 70 |        eval time =    1038.40 ms /    66 tokens (   15.73 ms per token,    63.60 tokens per second)
20.12.937 I slot print_timing: id  0 | task 70 | draft acceptance = 0.92308 (   48 accepted /    52 generated)
20.12.937 I slot print_timing: id  0 | task 70 | reasoning effort = medium
20.16.522 I slot print_timing: id  0 | task 71 | prompt eval time =     584.50 ms /   221 tokens (    2.64 ms per token,   378.10 tokens per second)  [31488 cached]
20.16.522 I slot print_timing: id  0 | task 71 |        eval time =    2338.40 ms /   146 tokens (   16.02 ms per token,    62.40 tokens per second)
20.16.522 I slot print_timing: id  0 | task 71 | draft acceptance = 0.87500 (  105 accepted /   120 generated)
20.16.522 I slot print_timing: id  0 | task 71 | reasoning effort = medium
20.21.472 I slot print_timing: id  0 | task 72 | prompt eval time =    1197.80 ms /   600 tokens (    2.00 ms per token,   500.90 tokens per second)  [31488 cached]
20.21.472 I slot print_timing: id  0 | task 72 |        eval time =    3472.80 ms /   213 tokens (   16.30 ms per token,    61.30 tokens per second)
20.21.472 I slot print_timing: id  0 | task 72 | draft acceptance = 0.83516 (  152 accepted /   182 generated)
20.21.472 I slot print_timing: id  0 | task 72 | reasoning effort = medium
20.23.303 I slot print_timing: id  0 | task 73 | prompt eval time =     821.30 ms /   345 tokens (    2.38 ms per token,   420.10 tokens per second)  [32000 cached]
20.23.303 I slot print_timing: id  0 | task 73 |        eval time =     865.30 ms /    59 tokens (   14.67 ms per token,    68.20 tokens per second)
20.23.303 I slot print_timing: id  0 | task 73 | draft acceptance = 1.00000 (   44 accepted /    44 generated)
20.23.303 I slot print_timing: id  0 | task 73 | reasoning effort = medium
21.03.606 I slot print_timing: id  0 | task 74 | prompt eval time =    2816.20 ms /  1708 tokens (    1.65 ms per token,   606.50 tokens per second)  [32256 cached]
21.03.606 I slot print_timing: id  0 | task 74 |        eval time =   37336.90 ms /  1918 tokens (   19.47 ms per token,    51.40 tokens per second)
21.03.606 I slot print_timing: id  0 | task 74 | draft acceptance = 0.66010 ( 1274 accepted /  1930 generated)
21.03.606 I slot print_timing: id  0 | task 74 | reasoning effort = medium
21.13.802 I slot print_timing: id  0 | task 75 | prompt eval time =    4266.80 ms /  2560 tokens (    1.67 ms per token,   600.00 tokens per second)  [33792 cached]
21.13.802 I slot print_timing: id  0 | task 75 |        eval time =    5143.80 ms /   324 tokens (   15.88 ms per token,    63.00 tokens per second)
21.13.802 I slot print_timing: id  0 | task 75 | draft acceptance = 0.89015 (  235 accepted /   264 generated)
21.13.802 I slot print_timing: id  0 | task 75 | reasoning effort = medium
21.21.730 I slot print_timing: id  0 | task 76 | prompt eval time =    1373.40 ms /   664 tokens (    2.07 ms per token,   483.50 tokens per second)  [36096 cached]
21.21.730 I slot print_timing: id  0 | task 76 |        eval time =    6383.40 ms /   404 tokens (   15.80 ms per token,    63.30 tokens per second)
21.21.730 I slot print_timing: id  0 | task 76 | draft acceptance = 0.89634 (  294 accepted /   328 generated)
21.21.730 I slot print_timing: id  0 | task 76 | reasoning effort = medium
22.36.922 I slot print_timing: id  0 | task 77 | prompt eval time =    1781.70 ms /   954 tokens (    1.87 ms per token,   535.40 tokens per second)  [36608 cached]
22.36.922 I slot print_timing: id  0 | task 77 |        eval time =   72563.00 ms /  3714 tokens (   19.54 ms per token,    51.20 tokens per second)
22.36.922 I slot print_timing: id  0 | task 77 | draft acceptance = 0.66523 ( 2474 accepted /  3719 generated)
22.36.922 I slot print_timing: id  0 | task 77 | reasoning effort = medium
